skucode,sku_type,opening_inventory,morning_sent,afternoon_sent,total_forecast,actual_orders,difference,Closing Inventory
FPF-DINS10,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FPF-DMTM15,LOW_VELOCITY,0,5,0,5,1,4,4
FPF-GHGS12,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FPF-LSGM15,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FPF-POBM15,ZERO_DEMAND,0,0,0,0,0,0,0
FPF-RTNL10,LOW_VELOCITY,0,5,0,5,2,3,3
FPF-SSMT15,VERY_LOW_VELOCITY,0,4,0,4,1,3,3
FPF-SSRM12,VERY_LOW_VELOCITY,0,3,0,3,1,2,2
FPF-VTCS10,ZERO_DEMAND,0,0,0,0,0,0,0
FXC-HHSS-3,LOW_VELOCITY,0,5,0,5,1,4,4
FXG-BREM,VERY_LOW_VELOCITY,0,2,0,2,1,1,1
FXG-CSBS25,ZERO_DEMAND,0,0,0,0,0,0,0
FXG-GSBM8,ZERO_DEMAND,0,0,0,0,0,0,0
FXG-JWORG,ZERO_DEMAND,0,0,0,0,0,0,0
FXG-LIPPUCH,ZERO_DEMAND,0,0,0,0,0,0,0
FXG-NRLO2,ZERO_DEMAND,0,0,0,0,0,0,0
FXG-PPLM5,LOW_VELOCITY,0,5,0,5,2,3,3
FXG-SVBM10,VERY_LOW_VELOCITY,0,2,0,2,1,1,1
FXG-VSHC15,LOW_VELOCITY,0,7,0,7,3,4,4
FXN-ABES30,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FXN-ACGL15,ZERO_DEMAND,0,0,0,0,0,0,0
FXN-AOFM100,VERY_LOW_VELOCITY,0,2,0,2,1,1,1
FXN-BRBL200,VERY_LOW_VELOCITY,0,3,0,3,1,2,2
FXN-BRBW250,VERY_LOW_VELOCITY,0,3,0,3,0,3,3
FXN-BSPC100,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FXN-BUEC20,VERY_LOW_VELOCITY,0,3,0,3,2,1,1
FXN-CLSR100,VERY_LOW_VELOCITY,0,3,0,3,3,0,0
FXN-CPAC100,VERY_LOW_VELOCITY,0,3,0,3,3,0,0
FXN-DINS30,LOW_VELOCITY,0,11,0,11,8,3,3
FXN-DMTM150,VERY_LOW_VELOCITY,0,2,0,2,1,1,1
FXN-DOGM30,LOW_VELOCITY,0,5,0,5,7,-2,-2
FXN-ESDS50,LOW_VELOCITY,0,9,0,9,7,2,2
FXN-ESDS80,LOW_VELOCITY,0,9,0,9,7,2,2
FXN-ESFW100,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FXN-ESMZ100,LOW_VELOCITY,0,4,0,4,3,1,1
FXN-ESMZ50,VERY_LOW_VELOCITY,0,3,0,3,1,2,2
FXN-EXBW250,LOW_VELOCITY,0,5,0,5,2,3,3
FXN-EXBW250-O,LOW_VELOCITY,0,5,0,5,2,3,3
FXN-FSFP10,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FXN-FSFP50,LOW_VELOCITY,0,9,0,9,11,-2,-2
FXN-GCNS30,ZERO_DEMAND,0,0,0,0,0,0,0
FXN-GVBS30,LOW_VELOCITY,0,8,0,8,8,0,0
FXN-HYBL200,VERY_LOW_VELOCITY,0,3,0,3,0,3,3
FXN-HYBW250,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FXN-HYDS30,VERY_LOW_VELOCITY,0,3,0,3,0,3,3
FXN-LBCG12,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FXN-LBMG12,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FXN-LBPG12,VERY_LOW_VELOCITY,0,3,0,3,0,3,3
FXN-LBRG12,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FXN-LCRS30,VERY_LOW_VELOCITY,0,4,0,4,2,2,2
FXN-LSGM50,LOW_VELOCITY,0,8,0,8,3,5,5
FXN-MCCM75,LOW_VELOCITY,0,8,0,8,5,3,3
FXN-MSZR50,VERY_LOW_VELOCITY,0,2,0,2,1,1,1
FXN-MWSR30,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FXN-NLSM12,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FXN-OAFW100,ZERO_DEMAND,0,0,0,0,0,0,0
FXN-OAFW150,VERY_LOW_VELOCITY,0,3,0,3,2,1,1
FXN-OSRC50,VERY_LOW_VELOCITY,0,2,0,2,1,1,1
FXN-PBNM50,ZERO_DEMAND,0,0,0,0,0,0,0
FXN-PMTS50-S1,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FXN-PMTS50-S2,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FXN-PMTS50-S3,VERY_LOW_VELOCITY,0,3,0,3,2,1,1
FXN-PMTS50-S4,VERY_LOW_VELOCITY,0,2,0,2,0,2,2
FXN-PMTS50-S5,ZERO_DEMAND,0,0,0,0,0,0,0
FXN-PMTS50-S6,ZERO_DEMAND,0,0,0,0,0,0,0
FXN-POBM50,LOW_VELOCITY,0,6,0,6,6,0,0
