skucode,count
FXN-DOGM30,-2
FXG-BREM,1
FXN-PBNM50,0
FXG-LIPPUCH,0
FXN-ACGL15,0
FXG-JWORG,0
FPF-VTCS10,0
FXN-GCNS30,0
FXN-EXBW250,3
FXG-CSBS25,0
FXN-HYDS30,3
FPF-SSRM12,2
FXN-PMTS50-S3,1
FXN-MSZR50,1
FPF-GHGS12,2
FXN-AOFM100,1
FPF-LSGM15,2
FXG-NRLO2,0
FXG-GSBM8,0
FXN-ESFW100,2
FPF-POBM15,0
FPF-SSMT15,3
FXT-BRBL10,0
FXN-RTFS30,2
FXN-OAFW100,0
FXN-FSFP50,-2
FPF-RTNL10,3
FXG-SVBM10,1
FXT-CLSR15,1
FXN-CLSR100,0
FXN-VTCS30,3
FXN-BSPC100,2
FXN-ESMZ100,1
FXN-ESDS50,2
FXG-VDCHP,0
FXG-PUCH-HOLO,0
HHN-IHBW250,0
FXG-MPKIT,0
FXG-PRON,0
FXP-BOX1500,0
FXN-VTCS30-O,0
FXP-ORN2,0
FXG-MKST,0
FXN-BRBW15,0
FXP-FOXTAPE,0
FXG-HDBAND,0
FXN-EXBW250-O,3
FXG-RNCO5,0
FPF-DOGM10,0
FXP-BOX250,0
FXN-ESDM01,0
FXN-ESNM01,0
FXG-ICEROLLER,0
FPF-CLSR30,0
FXG-PFRILLPOUCH,0
HHN-BROA50,0
FPF-MSZR15,0
FXG-STLC5,0
FPF-SSDY15,0
FXG-ELCUR,0
FXP-TYCARDFORB,0
FXN-FSFP10,2
FXG-SSBP8,0
FXP-BOXBS1500,0
FXP-TXCFOXXHH,0
FXP-ORN3,0
FXP-CLSR5,0
FXP-BOXBS250,0
FXP-TYCARDIGD,0
FXP-BOXBS1000,0
FXP-TYCARDEIS,0
FXP-BOXBS500,0
FXN-BRBL200,2
FXN-PMTS50-S2,2
FPF-DINS10,2
FXN-ABES30,2
FXN-STET150,2
FXN-LBCG12,2
FXN-NLSM12,2
FXN-PMTS50-S4,2
FXN-CPAC100,0
FXN-PMTS50-S5,0
FXN-HYBL200,3
FXN-PMTS50-S6,0
FXN-BRBW250,3
FXT-HYBL10,0
FXN-MWSR30,2
FXN-HYBW250,2
FXN-OAFW150,1
FXT-ESMZ10,1
FXN-POBM50,0
FXG-VSHC15,4
FXG-PPLM5,3
FXN-DMTM150,1
FXN-OSRC50,1
FXN-PMTS50-S1,2
FXN-LBPG12,3
FXN-LBRG12,2
FXN-BUEC20,1
FXN-SSDY50,3
FPF-DMTM15,4
FXT-GHGS10,4
FXN-SGFW100,3
FXN-LBMG12,2
FXT-LSGM10,1
FXN-RTNL30,1
FXN-SGFW150,2
FXN-SSMT50,4
FXN-DINS30,3
FXN-MCCM75,3
FXN-ESDS80,2
FXN-LSGM50,5
FXN-GVBS30,0
FXT-SGFW15,5
FXN-SSRM75,3
FXC-HHSS-3,4
