hub_final,skucode,pattern,current_inventory,demand_forecast,forecast_orders_final
MRTH,FPF-DINS10,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FPF-DMTM15,LOW_VELOCITY,4.0,5.0,1.0
MRTH,FPF-GHGS12,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FPF-LSGM15,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FPF-POBM15,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FPF-RTNL10,LOW_VELOCITY,3.0,5.0,2.0
MRTH,FPF-SSMT15,VERY_LOW_VELOCITY,3.0,4.0,1.0
MRTH,FPF-SSRM12,VERY_LOW_VELOCITY,2.0,3.0,1.0
MRTH,FPF-VTCS10,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FXC-HHSS-3,LOW_VELOCITY,4.0,5.0,1.0
MRTH,FXG-BREM,VERY_LOW_VELOCITY,1.0,2.0,1.0
MRTH,FXG-CSBS25,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FXG-GSBM8,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FXG-JWORG,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FXG-LIPPUCH,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FXG-NRLO2,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FXG-PPLM5,LOW_VELOCITY,3.0,5.0,2.0
MRTH,FXG-SVBM10,VERY_LOW_VELOCITY,1.0,2.0,1.0
MRTH,FXG-VSHC15,LOW_VELOCITY,4.0,7.0,3.0
MRTH,FXN-ABES30,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-ACGL15,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FXN-AOFM100,VERY_LOW_VELOCITY,1.0,2.0,1.0
MRTH,FXN-BRBL200,VERY_LOW_VELOCITY,2.0,3.0,1.0
MRTH,FXN-BRBW250,VERY_LOW_VELOCITY,3.0,3.0,0.0
MRTH,FXN-BSPC100,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-BUEC20,VERY_LOW_VELOCITY,1.0,3.0,2.0
MRTH,FXN-CLSR100,VERY_LOW_VELOCITY,0.0,3.0,3.0
MRTH,FXN-CPAC100,VERY_LOW_VELOCITY,0.0,3.0,3.0
MRTH,FXN-DINS30,LOW_VELOCITY,3.0,11.0,8.0
MRTH,FXN-DMTM150,VERY_LOW_VELOCITY,1.0,2.0,1.0
MRTH,FXN-DOGM30,LOW_VELOCITY,-2.0,5.0,7.0
MRTH,FXN-ESDS50,LOW_VELOCITY,2.0,9.0,7.0
MRTH,FXN-ESDS80,LOW_VELOCITY,2.0,9.0,7.0
MRTH,FXN-ESFW100,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-ESMZ100,LOW_VELOCITY,1.0,4.0,3.0
MRTH,FXN-ESMZ50,VERY_LOW_VELOCITY,0.0,3.0,3.0
MRTH,FXN-EXBW250,LOW_VELOCITY,3.0,5.0,2.0
MRTH,FXN-EXBW250-O,LOW_VELOCITY,3.0,5.0,2.0
MRTH,FXN-FSFP10,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-FSFP50,LOW_VELOCITY,-2.0,9.0,11.0
MRTH,FXN-GCNS30,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FXN-GVBS30,LOW_VELOCITY,0.0,8.0,8.0
MRTH,FXN-HYBL200,VERY_LOW_VELOCITY,3.0,3.0,0.0
MRTH,FXN-HYBW250,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-HYDS30,VERY_LOW_VELOCITY,3.0,3.0,0.0
MRTH,FXN-LBCG12,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-LBMG12,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-LBPG12,VERY_LOW_VELOCITY,3.0,3.0,0.0
MRTH,FXN-LBRG12,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-LCRS30,VERY_LOW_VELOCITY,0.0,4.0,4.0
MRTH,FXN-LSGM50,LOW_VELOCITY,5.0,8.0,3.0
MRTH,FXN-MCCM75,LOW_VELOCITY,3.0,8.0,5.0
MRTH,FXN-MSZR50,VERY_LOW_VELOCITY,1.0,2.0,1.0
MRTH,FXN-MWSR30,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-NLSM12,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-OAFW100,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FXN-OAFW150,VERY_LOW_VELOCITY,1.0,3.0,2.0
MRTH,FXN-OSRC50,VERY_LOW_VELOCITY,1.0,2.0,1.0
MRTH,FXN-PBNM50,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FXN-PMTS50-S1,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-PMTS50-S2,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-PMTS50-S3,VERY_LOW_VELOCITY,1.0,3.0,2.0
MRTH,FXN-PMTS50-S4,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-PMTS50-S5,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FXN-PMTS50-S6,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FXN-POBM50,LOW_VELOCITY,0.0,6.0,6.0
MRTH,FXN-RTFS30,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-RTNL30,VERY_LOW_VELOCITY,1.0,2.0,1.0
MRTH,FXN-SGFW100,LOW_VELOCITY,3.0,6.0,3.0
MRTH,FXN-SGFW150,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-SSDY50,LOW_VELOCITY,3.0,5.0,2.0
MRTH,FXN-SSMT50,LOW_VELOCITY,4.0,6.0,2.0
MRTH,FXN-SSRM75,LOW_VELOCITY,3.0,10.0,7.0
MRTH,FXN-STET150,VERY_LOW_VELOCITY,2.0,2.0,0.0
MRTH,FXN-VTCS30,LOW_VELOCITY,3.0,6.0,3.0
MRTH,FXP-CHairBand,LOW_VELOCITY,0.0,6.0,6.0
MRTH,FXP-QPOUCH,LOW_VELOCITY,0.0,7.0,7.0
MRTH,FXP-TEYEPC,VERY_LOW_VELOCITY,0.0,2.0,2.0
MRTH,FXT-BRBL10,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FXT-CLSR15,VERY_LOW_VELOCITY,1.0,2.0,1.0
MRTH,FXT-ESMZ10,LOW_VELOCITY,1.0,4.0,3.0
MRTH,FXT-GHGS10,LOW_VELOCITY,4.0,8.0,4.0
MRTH,FXT-HYBL10,ZERO_DEMAND,0.0,0.0,0.0
MRTH,FXT-LSGM10,LOW_VELOCITY,1.0,5.0,4.0
MRTH,FXT-SGFW15,MEDIUM_VELOCITY,5.0,14.0,9.0
MRTH,HHN-MEBS200,VERY_LOW_VELOCITY,0.0,4.0,4.0
